question,answer
"What is ML?", "ML means training computer using data"
"What is AI?", "AI means making machines intelligent"
"What is DL?", "DL means using neural networks for learning"
"What is NLP?", "NLP means teaching computers to understand language"
"What is CV?", "CV means teaching computers to see images"
"What is DS?", "DS means analyzing data for insights"
"What is IoT?", "IoT means connecting devices through the internet"
"What is Cloud?", "Cloud means storing and accessing data online"
"What is Big Data?", "Big Data means handling very large datasets"
"What is Blockchain?", "Blockchain means storing transactions securely in blocks"
